procode,gbcode,q101a1,q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101j1,q101k1,q101l1,q101m1,q101a2,q101a3,q101a4,q101a5,q101a6,q201,q202,q203,q204,q205,q206,q207,q208,q209,q211,q212,q301,q302,q304,q305,q306,q308,q309,q310,q311,q312,q313,q314,q315,q316
11,110101,1,2,196212,1,7,2,2,1,1,1,2001,2,2,3,0,0,0,2001,1,8,20,2,1,5000,5,8,2,1,198808,1,1,1,2,0,0,9,0,2,2,2,4,2
11,110101,1,2,195401,1,6,2,4,1,1,1,2000,1,3,0,0,0,0,2000,1,8,48,2,1,6000,7,10,5,2,198805,1,1,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,198708,1,3,1,1,1,1,1,2011,2,0,0,0,0,0,2005,1,6,48,6,1,2000,7,6,2,2,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,1,199002,1,3,1,1,1,1,1,2012,1,0,0,0,0,0,2012,1,8,48,6,1,2100,6,10,4,2,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,1,197106,1,4,2,2,1,1,1,1992,2,2,3,0,0,0,1992,1,14,20,2,1,2000,7,4,1,1,199705,1,1,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,198909,1,3,1,1,1,1,1,2010,1,0,0,0,0,0,2010,1,6,48,6,1,2000,7,6,2,2,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,197510,1,3,2,2,1,1,1,1991,1,2,3,0,0,0,1991,1,8,48,2,1,1600,7,4,4,1,200502,1,2,2,1,7,2,1,1,2,2,2,4,2
11,110101,1,2,198807,1,4,1,1,1,1,1,2009,1,0,0,0,0,0,2009,1,6,48,6,1,3800,5,9,2,2,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,1,197803,1,5,2,2,1,1,1,2001,1,2,3,0,0,0,1994,1,8,48,6,1,9000,6,11,2,2,200708,1,1,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,197407,1,3,1,2,1,1,1,2007,2,2,3,3,3,0,2003,1,6,41,5,3,0,0,0,2,2,199311,3,2,2,1,3,1,2,0,1,2,1,1,1
11,110101,1,2,198109,1,4,1,2,5,1,1,2002,1,2,3,0,0,0,2002,4,15,80,12,0,0,0,0,2,2,200804,1,2,2,1,3,3,2,0,1,1,2,1,1
11,110101,1,2,196702,1,4,2,2,5,1,1,2001,1,2,3,3,0,0,2001,4,15,80,12,0,0,0,0,5,2,198712,2,2,2,1,3,1,2,0,1,2,2,4,2
11,110101,1,1,199010,1,6,1,1,1,1,1,2011,1,0,0,0,0,0,2007,1,8,48,6,1,2200,5,8,4,2,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,199011,1,4,1,1,1,1,1,2009,1,0,0,0,0,0,2009,1,6,48,6,3,5000,6,8,2,1,201300,0,0,2,0,0,0,9,0,0,0,0,0,0
11,110101,1,2,196901,1,3,1,2,1,1,1,1993,1,2,3,3,0,0,1992,1,6,41,5,3,1500,7,12,4,2,199212,2,2,2,1,3,2,2,0,1,1,2,1,1
11,110101,1,2,197210,1,3,1,2,1,1,1,2000,1,2,3,3,0,0,2000,1,6,41,5,2,0,7,10,2,2,199201,2,2,2,1,2,2,2,0,2,2,2,4,1
11,110101,1,1,196307,1,2,1,2,1,1,1,2000,1,2,3,3,0,0,2000,1,6,42,5,3,900,7,12,2,2,198902,2,2,2,0,0,0,9,0,0,0,0,0,0
