q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
2,196212,1,7,2,2,1,2,8,1,5000,2,1,2,198808
2,195401,1,6,2,4,1,1,8,1,6000,5,2,-1,198805
2,198708,1,3,1,1,1,2,6,1,2000,2,2,-1,-1
1,199002,1,3,1,1,1,1,8,1,2100,4,2,-1,-1
1,197106,1,4,2,2,1,2,14,1,2000,1,1,3,199705
2,198909,1,3,1,1,1,1,6,1,2000,2,2,-1,-1
2,197510,1,3,2,2,1,1,8,1,1600,4,1,3,200502
2,198807,1,4,1,1,1,1,6,1,3800,2,2,-1,-1
1,197803,1,5,2,2,1,1,8,1,9000,2,2,-1,200708
2,197407,1,3,1,2,1,2,6,3,-9,2,2,-1,199311
2,198109,1,4,1,2,5,1,-1,-1,-1,2,2,-1,200804
2,196702,1,4,2,2,5,1,-1,-1,-1,5,2,-1,198712
1,199010,1,6,1,1,1,1,8,1,2200,4,2,-1,-1
2,199011,1,4,1,1,1,1,6,3,5000,2,1,1,-1
2,196901,1,3,1,2,1,1,6,3,1500,4,2,-1,199212
2,197210,1,3,1,2,1,1,6,2,-9,2,2,-1,199201
1,196307,1,2,1,2,1,1,6,3,900,2,2,-1,198902
1,196803,1,3,1,2,1,1,14,1,2060,5,1,3,199104
1,199512,1,3,1,1,1,2,8,1,2000,1,2,-1,-1
1,199111,1,5,1,1,1,1,8,1,4000,2,2,-1,-1
1,196911,1,3,1,3,1,1,6,2,30000,1,2,-1,200612
2,197012,1,2,1,2,1,1,6,3,3000,2,2,-1,199302
2,196710,1,2,1,2,5,1,-1,-1,-1,1,2,-1,198802
1,197709,1,3,1,2,1,1,6,3,3000,2,2,-1,199910
2,199503,1,4,1,1,6,2,-1,-1,-1,2,2,-1,-1
2,197809,1,3,1,2,1,1,8,4,3000,2,2,-1,199605
2,197610,1,6,2,2,1,1,12,1,7000,5,1,2,200410
2,197710,1,3,1,2,1,1,6,3,2000,1,2,-1,200202
2,197805,1,5,2,2,5,1,-1,-1,-1,2,2,-1,200310
2,197407,1,3,1,2,1,1,6,3,2000,5,2,-1,199912
2,197102,1,2,1,2,1,1,6,3,2500,2,2,-1,199304
1,197404,1,6,2,2,1,1,15,1,5000,2,1,2,199809
1,198108,1,4,1,2,1,1,10,1,6500,2,2,-1,200411
2,195410,1,4,1,2,4,3,-1,-1,-1,5,2,-1,197605
2,198403,1,3,1,2,5,2,-1,-1,-1,2,2,-1,200702
1,198809,1,3,1,1,1,1,8,1,1700,4,2,-1,-1
1,196609,1,4,1,2,1,1,8,1,2300,1,1,1,198902
1,197003,1,4,1,2,1,1,4,3,5000,2,2,-1,199705
1,197610,1,3,1,2,1,1,6,3,3000,2,2,-1,200002
1,197301,1,3,1,2,1,1,6,3,2500,2,2,-1,199312
2,197108,1,4,2,2,1,1,8,3,2000,2,2,-1,199901
1,196808,1,3,1,2,1,1,7,3,3500,6,2,-1,198803
1,198804,1,5,2,1,3,1,-1,-1,-1,5,2,-1,-1
2,197302,4,3,1,2,1,1,6,3,2100,6,2,-1,200403
1,196601,1,4,1,2,1,1,6,3,3000,6,2,-1,199111
2,198311,1,7,1,1,1,1,6,3,3600,6,2,-1,-1
2,197304,1,6,2,2,5,1,-1,-1,-1,7,2,-1,201006
1,198110,1,4,1,2,1,1,6,3,2500,6,2,-1,200704
2,197010,1,6,2,1,3,1,-1,-1,-1,5,2,-1,-1
1,198102,1,6,1,1,1,1,6,3,3600,6,2,-1,-1
2,197012,4,5,1,2,5,1,-1,-1,-1,6,2,-1,200906
1,196402,1,3,1,4,1,1,7,1,2500,4,2,-1,199001
2,197312,1,6,1,1,1,1,6,4,2800,6,2,-1,-1
2,197310,1,4,1,2,1,1,6,3,2900,6,2,-1,200001
1,197410,1,3,1,2,1,1,6,3,3500,6,2,-1,200202
2,197103,1,4,2,1,1,1,7,1,2800,6,2,-1,-1
1,197804,1,7,2,2,1,1,12,1,10100,7,1,1,200412
1,197911,1,5,2,4,3,1,-1,-1,-1,7,1,2,200403
1,197903,3,6,2,1,3,1,-1,-1,-1,5,2,-1,-1
1,197009,1,5,2,2,1,1,8,3,4000,6,2,-1,200608
1,195806,3,4,1,2,1,1,13,1,1800,4,2,-1,198203
1,198605,1,4,1,1,1,1,8,1,2000,4,1,2,-1
1,198410,1,3,1,1,1,1,8,1,2000,4,1,2,-1
2,197907,1,3,1,2,1,1,6,3,3000,2,2,-1,200112
2,197912,1,5,2,2,1,1,6,2,5000,2,2,-1,200106
2,196311,1,3,2,2,1,1,8,3,2000,6,2,-1,198601
1,197304,1,3,1,2,1,1,7,1,1800,4,1,2,200105
1,198701,1,4,1,2,1,1,7,1,2800,2,2,-1,201111
1,199205,1,3,1,1,1,1,8,1,2600,2,1,2,-1
2,198709,1,3,1,1,1,1,7,1,2200,2,1,1,-1
2,198609,1,3,1,1,1,1,7,1,2500,2,1,3,-1
1,197908,1,6,2,2,1,1,15,2,7000,2,1,3,200405
2,197410,1,3,1,2,1,1,6,1,2000,2,2,-1,199512
1,197707,1,3,1,1,1,1,6,3,4000,2,2,-1,-1
1,198601,1,4,1,1,1,1,8,1,4000,4,1,2,-1
2,197105,1,3,1,2,1,1,8,1,1600,4,1,1,199410
2,199004,1,3,1,1,1,1,8,1,2000,4,1,2,-1
2,199203,1,4,1,1,1,1,8,1,2000,4,1,2,-1
1,199008,1,3,1,1,1,1,8,1,3000,4,1,2,-1
2,197310,1,3,1,2,1,1,6,1,1800,2,2,-1,199608
1,196605,1,2,2,2,4,1,-1,-1,-1,2,2,-1,198807
1,198002,1,6,2,2,1,1,13,1,5000,7,1,3,200606
2,199005,1,4,1,1,1,1,11,1,2000,2,1,1,-1
2,197703,1,8,2,2,1,2,9,1,15000,7,1,3,200611
1,197707,1,4,2,2,1,1,6,1,5000,7,1,3,200702
1,199302,1,3,1,1,1,1,6,1,1500,5,2,-1,-1
2,196304,1,7,2,2,1,2,7,3,5000,2,2,-1,199110
2,198610,1,3,1,1,1,1,6,1,2000,2,2,-1,-1
2,198410,1,7,2,2,1,1,13,1,6000,7,1,1,201004
2,197401,1,3,1,2,1,1,6,1,2000,2,1,1,200212
2,198212,1,3,1,1,1,1,11,1,2000,2,1,1,-1
2,199601,1,3,1,1,1,1,11,1,2000,2,1,1,-1
2,197110,1,3,1,2,1,1,7,1,1100,6,1,1,199707
2,199411,1,3,1,1,1,1,11,1,2000,2,1,1,-1
1,197305,1,4,1,2,1,1,6,3,2000,2,2,-1,199304
1,198705,1,3,1,1,1,2,8,1,2050,4,2,-1,-1
2,197904,1,5,2,2,1,1,1,2,4000,7,1,1,200210
2,198003,1,3,1,2,1,1,6,3,2000,2,1,1,200612
2,198811,1,3,1,2,1,1,11,1,2000,2,1,1,201003
1,198406,1,6,2,2,1,1,6,3,15000,5,1,2,200812
2,196507,1,1,1,3,1,1,7,1,1700,4,1,3,198608
1,197906,1,5,2,1,1,1,7,1,1400,4,1,1,-1
2,198609,1,5,1,1,1,1,7,1,1400,4,1,3,-1
2,199311,1,4,1,1,1,1,7,1,1900,6,1,3,-1
2,198304,1,5,2,1,1,1,7,1,1500,4,1,3,-1
1,196302,1,4,1,2,1,1,7,1,3000,4,2,-1,198508
2,196712,1,3,1,2,1,1,7,1,3000,6,1,1,198912
2,199211,1,3,1,1,1,1,7,1,1400,4,1,3,-1
2,199010,1,3,1,2,1,1,7,1,1900,4,1,2,201108
1,197812,1,4,1,2,1,1,7,1,2700,4,1,3,200304
1,198510,1,3,1,2,1,1,7,1,2400,6,2,-1,200711
1,198909,1,4,1,2,1,1,7,1,1900,1,1,3,200808
1,198711,1,4,1,1,1,1,7,1,1400,6,1,3,-1
1,197002,1,4,1,2,1,1,7,1,2500,5,1,3,199110
1,199306,1,3,1,1,1,1,7,1,3200,4,1,3,-1
1,199204,1,4,2,1,1,1,7,1,2800,4,1,1,-1
2,199210,1,5,2,1,1,1,7,1,1500,4,2,-1,-1
2,199001,1,3,1,1,1,1,15,1,1500,4,2,-1,-1
1,198908,1,3,1,1,1,1,7,1,3000,4,1,3,-1
2,198908,1,4,1,1,1,1,7,1,1500,4,1,3,-1
2,197408,1,6,1,2,1,1,6,4,3000,2,2,-1,199808
1,198412,1,4,1,2,1,1,6,3,3500,2,2,-1,200909
1,198207,1,7,2,2,1,1,15,1,4800,2,1,2,200910
