q101b1,q101c1,q101e1,q101f1,q203,q207
2,196212,1,7,8,5000
2,195401,1,6,8,6000
2,198708,1,3,6,2000
1,199002,1,3,8,2100
1,197106,1,4,14,2000
2,198909,1,3,6,2000
2,197510,1,3,8,1600
2,198807,1,4,6,3800
1,197803,1,5,8,9000
2,197407,1,3,6,-9
2,198109,1,4,-1,-1
2,196702,1,4,-1,-1
1,199010,1,6,8,2200
2,199011,1,4,6,5000
2,196901,1,3,6,1500
2,197210,1,3,6,-9
1,196307,1,2,6,900
1,196803,1,3,14,2060
1,199512,1,3,8,2000
1,199111,1,5,8,4000
1,196911,1,3,6,30000
2,197012,1,2,6,3000
2,196710,1,2,-1,-1
1,197709,1,3,6,3000
2,199503,1,4,-1,-1
2,197809,1,3,8,3000
2,197610,1,6,12,7000
2,197710,1,3,6,2000
2,197805,1,5,-1,-1
2,197407,1,3,6,2000
2,197102,1,2,6,2500
1,197404,1,6,15,5000
1,198108,1,4,10,6500
2,195410,1,4,-1,-1
2,198403,1,3,-1,-1
1,198809,1,3,8,1700
1,196609,1,4,8,2300
1,197003,1,4,4,5000
1,197610,1,3,6,3000
1,197301,1,3,6,2500
2,197108,1,4,8,2000
1,196808,1,3,7,3500
1,198804,1,5,-1,-1
2,197302,4,3,6,2100
1,196601,1,4,6,3000
2,198311,1,7,6,3600
2,197304,1,6,-1,-1
1,198110,1,4,6,2500
2,197010,1,6,-1,-1
1,198102,1,6,6,3600
2,197012,4,5,-1,-1
1,196402,1,3,7,2500
2,197312,1,6,6,2800
2,197310,1,4,6,2900
1,197410,1,3,6,3500
2,197103,1,4,7,2800
1,197804,1,7,12,10100
1,197911,1,5,-1,-1
1,197903,3,6,-1,-1
1,197009,1,5,8,4000
1,195806,3,4,13,1800
1,198605,1,4,8,2000
1,198410,1,3,8,2000
2,197907,1,3,6,3000
2,197912,1,5,6,5000
2,196311,1,3,8,2000
1,197304,1,3,7,1800
1,198701,1,4,7,2800
1,199205,1,3,8,2600
2,198709,1,3,7,2200
2,198609,1,3,7,2500
1,197908,1,6,15,7000
2,197410,1,3,6,2000
1,197707,1,3,6,4000
1,198601,1,4,8,4000
2,197105,1,3,8,1600
2,199004,1,3,8,2000
2,199203,1,4,8,2000
1,199008,1,3,8,3000
2,197310,1,3,6,1800
1,196605,1,2,-1,-1
1,198002,1,6,13,5000
2,199005,1,4,11,2000
2,197703,1,8,9,15000
1,197707,1,4,6,5000
1,199302,1,3,6,1500
2,196304,1,7,7,5000
2,198610,1,3,6,2000
2,198410,1,7,13,6000
2,197401,1,3,6,2000
2,198212,1,3,11,2000
2,199601,1,3,11,2000
2,197110,1,3,7,1100
2,199411,1,3,11,2000
1,197305,1,4,6,2000
1,198705,1,3,8,2050
2,197904,1,5,1,4000
2,198003,1,3,6,2000
2,198811,1,3,11,2000
1,198406,1,6,6,15000
2,196507,1,1,7,1700
1,197906,1,5,7,1400
2,198609,1,5,7,1400
2,199311,1,4,7,1900
2,198304,1,5,7,1500
1,196302,1,4,7,3000
2,196712,1,3,7,3000
2,199211,1,3,7,1400
2,199010,1,3,7,1900
1,197812,1,4,7,2700
1,198510,1,3,7,2400
1,198909,1,4,7,1900
1,198711,1,4,7,1400
1,197002,1,4,7,2500
1,199306,1,3,7,3200
1,199204,1,4,7,2800
2,199210,1,5,7,1500
2,199001,1,3,15,1500
1,198908,1,3,7,3000
2,198908,1,4,7,1500
2,197408,1,6,6,3000
1,198412,1,4,6,3500
1,198207,1,7,15,4800
1,197302,1,3,6,2000
2,198705,1,6,12,4000
2,197809,1,7,13,6000
2,198805,1,6,13,5000
2,198901,3,6,12,3000
2,196803,1,3,6,5000
2,198003,1,7,13,6000
2,198309,1,4,7,3600
2,198403,1,7,12,2600
2,197102,1,3,10,1000
2,197301,1,3,6,2000
1,197310,1,3,6,1000
