@relation 2011CombData-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4_predicted

@attribute predictedrate numeric
@attribute rate numeric
@attribute dis numeric
@attribute orgGDP numeric
@attribute Population numeric
@attribute Birth_Rate numeric
@attribute Avg_Life numeric
@attribute GDP_PC numeric
@attribute Unemploy_Rate numeric
@attribute Flat_Rates numeric
@attribute Price_Rates numeric
@attribute City_Income numeric
@attribute Country_income numeric
@attribute Green_Rate numeric
@attribute Disasters numeric
@attribute Stu_Rate_H numeric
@attribute Low_Income numeric
@attribute Low_Income_Insurance numeric

@data
0.007676,0.003305,1688,16413,39352,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254
0.001212,0,2541,30087,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
0.027162,0.021505,2418,33043,38588,11.41,75.76,47377,3.7,7764.29,105.3,24907.4,8778.6,5.08,102,2200,18.1,218
0.007676,0.007657,1626,25326,39352,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254
0.004128,0,1910,82560,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.001435,0,3836,25659,49464,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306
0.056606,0.016687,901,47377,45060,10.45,76.49,50807,2.5,7879.17,105.3,26897.5,9371.7,41.06,100,1978,40,254
0.075596,0.09419,256,38460,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.019058,0.016208,1827,34197,38154,5.71,76.38,50760,3.7,4732.65,105.2,20466.8,8296.5,9.6,291,2712,118.6,296
0.002615,0.00027,1146,57974,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.004558,0,3537,16413,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.007489,0,1868,28898,39352,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254
0.001178,0.005556,1076,29522,37330,9.79,74.75,26133,4.2,4917.88,105.3,17899.1,6128.6,7.74,1997,1904,189.3,210
0.004128,0.001931,1844,62290,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.062531,0.064306,836,47377,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.001212,0,2885,16413,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
0.095247,0.376471,308,85213,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.002886,0.00355,3640,29880,38238,14.99,72.35,30087,3.2,3548.79,105.9,15513.6,5442.2,4.41,24,1521,96,183
0.011262,0.001497,2461,50807,41118,8.94,74.44,57974,3.8,3782.93,105.6,20407.6,6641.6,4.11,8,1920,84.8,299
0.012316,0.000644,663,62290,37618,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286
0.001891,0.000463,3985,50760,38238,14.99,72.35,30087,3.2,3548.79,105.9,15513.6,5442.2,4.41,24,1521,96,183
0.00198,0,2529,82560,34004,12.71,69.54,19265,4.1,3635.38,104.9,18575.6,4722,3.19,346,1520,93.1,206
0.018654,0.00891,1802,59249,41118,8.94,74.44,57974,3.8,3782.93,105.6,20407.6,6641.6,4.11,8,1920,84.8,299
0.002024,0.01699,917,19265,37330,9.79,74.75,26133,4.2,4917.88,105.3,17899.1,6128.6,7.74,1997,1904,189.3,210
0.001782,0,2457,34500,49464,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306
0.001108,0,1174,62290,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
0.002213,0.016667,2875,29522,36244,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250
