X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
from,q101d1,0.99971,0.9536338,0.14205,0.99835,5.3923173,-0.21465378
from,gbcode,0.41789,0.267501,0.18324,0.41789,7.087463,0.38780022
from,q101k1,0.36004,0.3182649,0.17903002,0.36004,2.5849626,0.20438957
from,q101g1,0.06104,0.04194437,0.03429,0.06104,5.9068904,-0.13818693
from,q101e1,0.04606,0.0452045,0.01567,0.04606,5.857981,0.029248882
from,q101f1,0.04403,0.016986249,0.014769999,0.04403,7.087463,-0.16444984
from,q203,0.0351,0.025129665,0.012750002,0.0351,7.087463,-0.09985158
from,q204,0.03475,0.0291387,0.01343,0.02824,7.7615514,0.074908614
from,q101c1,0.03454,0.03442364,0.01686,0.03454,7.768184,-0.010786922
from,q302,0.03363,0.027576819,0.017159998,0.03363,7.087463,0.07780219
from,q301,0.03266,0.03225731,0.012019999,0.03266,7.768184,0.020067127
from,q207,0.03106,0.029528644,0.013020001,0.03106,7.768184,-0.03913255
from,q208,0.02452,0.02393751,0.0066299997,0.02089,6.4429436,0.024134839
from,q101a4,0.02379,0.023257317,0.01015,0.02048,6.491853,0.023079924
from,q304,0.02216,0.022012822,0.011189999,0.02216,5.9068904,-0.012131667
from,q205,0.02186,0.02046909,0.0064999997,0.01818,7.321928,0.037294906
from,q206,0.02159,0.021065375,0.01609,0.02159,5.70044,0.022904713
from,q101a2,0.02056,0.020558458,0.01586,0.02056,5.70044,0.0012417577
from,q101h1,0.02049,0.019535974,0.01514,0.02049,5.7548876,0.030887332
from,q211,0.02041,0.014553081,0.00831,0.02041,7.087463,-0.07653051
from,q101a3,0.01909,0.018923325,0.01296,0.01909,7.087463,0.012910256
from,q305,0.01784,0.017244538,0.01111,0.01784,5.807355,0.024402067
from,q209,0.01654,0.015043541,0.003179999,0.01654,7.087463,0.0386841
from,q308,0.01643,0.016190318,0.00766,0.01228,7.6724253,-0.01548163
from,q101l1,0.01533,0.009861691,0.0052199997,0.01533,7.087463,0.07394801
from,q212,0.01465,0.010350905,0.00712,0.01465,5.7548876,0.06556748
from,q315,0.01413,0.014081101,0.00718,0.00797,6.4429436,0.0069928044
from,q201,0.01252,0.012320259,0.0048299995,0.0088,7.7615514,0.01413299
from,q314,0.01233,0.012122979,0.0064000003,0.00624,6.4429436,0.01438821
from,q310,0.01077,0.0066906144,0.00423,0.00963,7.5849624,-0.063870065
from,q101a5,0.01038,0.0102591915,0.0050299997,0.00776,7.6724253,-0.010991306
from,q312,0.0097,0.009620092,0.0044799997,0.00554,6.491853,0.008939156
from,q309,0.00937,0.009369999,0.0049099997,0.00662,7.0,3.0613308E-5
from,q316,0.0093,0.009248762,0.00667,0.00719,6.491853,0.0071580443
from,q101i1,0.00824,0.008232452,0.00428,0.0055,7.7615514,-0.0027473797
from,q202,0.00723,0.007217605,0.0040100003,0.0055,7.321928,-0.0035206503
from,q306,0.00681,0.0066727875,0.0046,0.00555,6.3923173,-0.011713787
from,q101a6,0.00651,0.006492793,0.0034500002,0.00433,7.61471,-0.0041481685
from,q313,0.00648,0.006311522,0.00466,0.00557,7.6724253,0.012979912
from,q101m1,0.00608,0.00504448,0.00399,0.00608,5.70044,0.032179505
from,q311,0.00374,0.0037399994,0.00267,0.00272,6.33985,-2.761504E-5
from,q101b1,0.00361,0.0032679124,0.00317,0.00361,5.857981,-0.018495612
