"","toCode","rate","amount"
"1",64,0,0
"2",11,0.147093315463227,878
"3",12,0.0390350142402412,233
"4",13,0.0244597084938851,146
"5",14,0.0234545149941364,140
"6",15,0.00452337074886916,27
"7",21,0.0184285474953929,110
"8",22,0.00452337074886916,27
"9",23,0.00284804824928799,17
"10",31,0.178924442955269,1068
"11",32,0.0762271737309432,455
"12",33,0.0795778187301055,475
"13",34,0.00519349974870162,31
"14",35,0.0103869994974032,62
"15",36,0.00837661249790585,50
"16",37,0.0078740157480315,47
"17",42,0.0169207572457698,101
"18",43,0.00251298374937175,15
"19",44,0.0675154967331211,403
"20",45,0,0
"21",46,0,0
"22",50,0,0
"23",51,0,0
"24",52,0,0
"25",53,0,0
"26",54,0,0
"27",61,0,0
"28",62,0,0
"29",63,0,0
"30",64,0,0
"31",65,0,0
