Code,Country_income_13,Low_Income_13
11,17101.18,11.7
12,15352.6,18
13,9187.71,88.1
14,7949.47,91.7
15,8984.92,84.8
21,10161.21,118.6
22,9780.68,115.6
23,9369.01,155.6
31,19208.31,32.4
32,13521.29,40.9
33,17493.92,8.8
34,8850,84.2
35,11404.85,18.1
36,9088.78,98.1
37,10686.86,60.6
41,8969.11,141.9
42,9691.8,137.2
43,9028.55,145.1
44,11067.79,40
45,7793.08,57.3
46,8801.73,17.1
50,8492.55,56.9
51,8380.69,189.3
52,5897.77,54.3
53,6723.64,93.1
54,6553.38,4.3
61,7092.2,84.6
62,5588.78,88.1
63,6461.59,23.5
64,7598.67,20.8
65,7846.59,96
66,7846.59,96
