q217,marriagegrp,fmrrage,q212
2000,20,19.83333397,2
2000,25,22.91666603,1
3000,30,25.91666603,2
3000,25,21.58333397,2
3000,25,22.91666603,2
8500,25,24.08333397,2
4500,25,21.16666603,2
2000,25,21.25,2
1500,30,27.16666603,1
3000,20,19.75,2
3000,25,24.91666603,2
3000,25,24.58333397,1
2000,,,2
2300,25,22.91666603,1
2000,25,25,1
5000,25,24.58333397,2
2000,,,2
3800,30,29.33333397,2
3600,25,22.66666603,2
3000,35,30.41666603,2
8000,25,23.33333397,2
4500,25,22.66666603,2
1500,,,1
2500,25,21.91666603,1
5000,25,22,2
1500,,,1
2200,25,23.33333397,1
5000,25,23.58333397,2
15000,25,23.08333397,2
4500,,,1
1000,25,23.08333397,1
3500,,,2
1500,,,1
4000,30,25.08333397,2
2000,,,1
800,25,21.66666603,1
3500,25,21.33333397,2
2800,30,26,2
3200,30,25.25,2
5500,25,22.5,2
3500,25,20.08333397,2
3000,30,25.5,2
2500,25,24,2
1600,30,29.75,1
5000,25,22.5,2
3000,25,22.66666603,2
2200,25,21.91666603,2
2300,30,25.33333397,2
3000,30,25.66666603,2
3500,30,25.91666603,2
5000,25,23.16666603,2
2500,35,32.58333206,2
4000,30,27.08333397,2
3500,30,25.5,1
3000,30,25.08333397,2
2400,35,30.83333397,2
2500,,,2
2500,35,34.08333206,2
3500,25,23.66666603,2
2000,30,25.25,2
5000,30,25.66666603,2
3500,30,27.25,2
4000,25,22.66666603,2
3000,30,29.25,2
4000,30,29.41666603,2
3500,30,27.16666603,2
3500,25,24.08333397,2
3000,40,38.91666794,2
3000,30,25.33333397,2
3000,25,22.83333397,2
3000,30,26.41666603,2
2000,25,24.83333397,2
2000,25,23.66666603,2
4000,25,20.41666603,2
2500,30,28,2
2500,30,26.41666603,2
2000,,,2
3500,30,26.75,2
2500,,,2
5000,25,21.08333397,2
2000,30,26.83333397,2
1600,,,2
1500,30,26,2
1500,25,20.08333397,2
2500,25,23.16666603,2
1800,30,25.33333397,2
3000,25,24.91666603,2
2000,,,2
2500,30,28.83333397,2
2800,30,28.75,2
3200,35,33.83333206,2
2500,30,28.66666603,2
7000,25,24.08333397,2
3000,30,26.5,2
2000,25,23.25,2
2500,,,2
3500,30,25.41666603,2
2500,35,30.83333397,2
3800,30,26.25,2
2000,35,30.75,2
1500,,,1
2000,,,1
2000,,,1
2000,,,1
2000,,,1
2000,,,1
2000,,,1
2000,,,1
2000,,,1
1500,,,1
2000,,,1
1600,,,1
2000,,,1
1200,,,1
1000,,,1
2000,,,1
2200,,,1
1700,,,1
1500,,,1
2000,,,1
1800,,,2
3000,25,22.33333397,2
2600,25,22.5,2
1500,,,2
3000,25,23.08333397,2
2100,30,25.91666603,2
3000,25,21.33333397,2
3100,,,2
1800,25,21.75,2
2800,30,26.16666603,2
2800,25,23.91666603,2
3000,25,24.66666603,2
3500,20,19.91666603,2
3600,25,23.25,2
3000,30,26.58333397,2
2600,,,2
2600,,,2
2900,20,19.25,2
2900,25,23.91666603,2
2000,30,28,2
2800,30,28.25,2
2000,25,20.66666603,2
1500,,,2
800,,,1
1800,25,21.33333397,2
2500,,,2
1800,25,20.41666603,2
2200,20,19.58333397,2
600,,,2
800,25,21.33333397,1
1200,,,1
580,,,2
1600,,,2
1300,30,28.83333397,2
1600,25,23.16666603,2
1860,25,22.25,2
1400,,,2
1800,20,20,2
600,,,1
1500,20,20,2
2000,,,2
2800,,,2
1500,,,2
2300,,,2
2500,,,2
2000,,,2
2800,,,2
1500,,,2
2300,,,2
2300,,,2
2000,,,2
2000,,,2
2100,,,2
2300,,,2
2300,,,2
2000,,,2
1500,30,28.5,2
2000,,,2
2000,,,2
1500,,,2
3000,25,25,2
3000,25,21.91666603,2
2500,,,2
2500,,,2
3000,30,25.66666603,2
2800,,,2
2100,,,2
3000,20,18.33333397,2
3000,,,2
2000,25,22.58333397,2
2300,,,2
2500,35,34.91666794,2
2680,25,22.5,2
3500,25,21.58333397,2
2000,25,24,2
2500,40,37.41666794,2
1000,,,2
2500,25,21.25,2
3000,25,22.41666603,2
1500,25,23.58333397,2
3000,,,2
2000,25,21.91666603,2
1000,,,2
5000,25,23.08333397,2
3000,30,26,2
1500,25,23.83333397,2
2500,30,25.58333397,2
2500,20,19.83333397,2
1800,25,22.75,2
2000,25,21.91666603,2
1500,35,32.91666794,2
1500,25,20.83333397,2
3500,20,18.75,2
4000,30,25.58333397,2
3000,25,20.83333397,2
1800,,,2
2500,,,2
3200,20,19.66666603,2
2500,20,20,2
1500,25,24.16666603,2
2000,25,21.75,2
3000,25,20.41666603,2
1300,30,28.66666603,2
2500,,,2
1500,30,27.66666603,2
4000,25,23,2
1800,30,26.91666603,2
1000,,,2
3000,35,31.66666603,2
2000,20,19,2
2000,,,2
4000,,,2
3500,25,23.25,2
2500,30,25.16666603,2
1500,25,23.83333397,2
2250,25,20.83333397,2
3000,25,21.41666603,2
1500,,,2
1500,25,21,2
5000,25,21.75,2
2400,25,22.5,2
1200,25,20.16666603,2
1000,25,21.08333397,2
1600,20,19.83333397,2
1600,25,24.91666603,2
600,,,2
1200,,,2
2000,25,23,2
2200,20,17.58333397,2
2300,25,22.08333397,2
3000,20,18,2
960,30,26.41666603,2
1300,,,2
1300,,,2
1300,,,2
1000,30,25.41666603,2
2500,35,31.25,2
1000,25,23.08333397,2
3600,30,29.33333397,2
3000,25,23.33333397,2
2000,25,23.75,2
3600,25,23.58333397,2
3000,20,18.25,2
2100,25,21.58333397,2
4000,25,22.91666603,2
3000,30,26.58333397,2
5000,30,28.33333397,2
2500,30,26.25,2
1000,25,20.25,2
6000,30,25.83333397,2
2000,30,26.16666603,2
3500,25,22.25,2
2500,30,25.58333397,2
3000,30,28.16666603,2
4000,30,27.83333397,2
8000,30,26,2
5500,25,20.41666603,2
3000,20,19.25,2
2000,30,28.16666603,2
2000,25,20.83333397,2
3000,30,27.75,2
2000,25,20.66666603,2
1900,30,26.91666603,2
2000,30,29.25,2
3000,,,2
1500,25,22.91666603,2
1500,25,22.83333397,2
3000,20,17.75,2
500,25,22.83333397,2
1600,25,23.91666603,2
