Income,Children,test1,test2
5000,2,1,1
5000,2,1,1
3000,2,1,1
1000,2,1,1
2500,2,1,1
2000,2,1,1
2000,2,1,1
2000,2,1,1
3000,2,1,1
2000,2,1,1
5000,2,1,1
2000,2,1,1
3000,1,1,1
4000,1,1,1
2900,2,1,1
1800,2,1,1
5000,1,1,1
3700,1,1,1
1500,2,1,1
6000,1,1,1
4500,1,1,1
2300,2,1,1
4500,1,1,1
4600,1,1,1
2000,1,1,1
3000,2,1,1
8000,2,1,1
3100,1,1,1
4000,2,1,1
4500,1,1,1
3500,2,1,1
3800,2,1,1
1700,2,1,1
3500,1,1,1
1800,2,1,1
5000,1,1,1
6000,2,1,1
3700,2,1,1
7000,2,1,1
4000,2,1,1
1800,2,1,1
4000,2,1,1
5000,1,1,1
5000,2,1,1
1300,2,1,1
1400,2,1,1
2000,2,1,1
1800,2,1,1
5000,2,1,1
1800,2,1,1
2300,1,1,1
1500,2,1,1
5000,2,1,1
3000,2,1,1
6000,1,1,1
2000,2,1,1
1500,2,1,1
4000,1,1,1
7000,2,1,1
2000,2,1,1
2000,1,1,1
5000,2,1,1
2000,2,1,1
5000,2,1,1
1500,1,1,1
5000,2,1,1
3000,1,1,1
2000,2,1,1
2500,2,1,1
2500,2,1,1
2000,2,1,1
3000,1,1,1
2500,2,1,1
6000,2,1,1
10000,2,1,1
3000,2,1,1
3000,2,1,1
2000,1,1,1
2500,2,1,1
3000,2,1,1
3000,1,1,1
2000,1,1,1
3000,1,1,1
3000,2,1,1
3000,1,1,1
3000,2,1,1
4000,1,1,1
3000,1,1,1
1000,2,1,1
3000,2,1,1
4000,2,1,1
1800,2,1,1
2600,2,1,1
1500,2,1,1
3000,2,1,1
10000,2,1,1
1300,1,1,1
2500,2,1,1
2500,2,1,1
4500,2,1,1
3600,2,1,1
2000,2,1,1
4000,1,1,1
2000,2,1,1
3000,1,1,1
0,2,1,1
6000,3,1,1
2500,1,1,1
3000,2,1,1
2000,1,1,1
3700,1,1,1
5000,1,1,1
2000,2,1,1
2000,2,1,1
800,2,1,1
4000,1,1,1
5000,2,1,1
7000,1,1,1
10000,2,1,1
8000,2,1,1
500,2,1,1
20000,,1,1
3000,1,1,1
2000,1,1,1
4000,2,1,1
500,1,1,1
0,2,1,1
20000,1,1,1
6000,1,1,1
3000,1,1,1
10000,2,1,1
20000,1,1,1
500,2,1,1
7000,2,1,1
4000,2,1,1
4000,2,1,1
3000,2,1,1
7000,1,1,1
5000,2,1,1
2200,2,1,1
3000,2,1,1
2000,2,1,1
3000,2,1,1
4000,2,1,1
4000,2,1,1
5000,1,1,1
7000,2,1,1
5000,2,1,1
4000,2,1,1
4000,2,1,1
5000,2,1,1
3000,2,1,1
8000,2,1,1
5000,2,1,1
5000,2,1,1
3000,2,1,1
3000,2,1,1
5000,2,1,1
5000,2,1,1
3500,1,1,1
5000,2,1,1
3000,2,1,1
4000,2,1,1
3000,2,1,1
5000,2,1,1
3000,2,1,1
2000,2,1,1
3000,2,1,1
5000,2,1,1
3000,1,1,1
