Code,Country_income,Low_Income
11,18867.3,11.7
12,17014.18,18
13,10186.14,88.1
14,8809.44,91.7
15,8984.92,84.8
21,11191.49,118.6
22,10780.12,115.6
23,10453.2,155.6
31,21191.64,32.4
32,14958.44,40.9
33,19373.28,8.8
34,9916.42,84.2
35,12650.19,18.1
36,10116.58,98.1
37,11882.26,60.6
41,9966.07,141.9
42,10849.06,137.2
43,10060.17,145.1
44,12245.56,40
45,7793.08,57.3
46,9912.57,17.1
50,9489.82,56.9
51,9347.74,189.3
52,6671.22,54.3
53,7456.13,93.1
54,6553.38,4.3
61,7932.21,84.6
62,6276.59,88.1
63,7282.73,23.5
64,7598.67,20.8
65,7846.59,96
66,8723.83,96
