,toCode,fromCode,dis,areaX,areaY,Country_income,Low_Income,predicted
1,12,11,125,16411,11920,17014.18,18,0.032
2,13,11,292,16411,190000,10186.14,88.1,0.029
3,14,11,506,16411,156000,8809.44,91.7,0.019
4,15,11,480,16411,1183000,8984.92,84.8,0.026
5,21,11,684,16411,148000,11191.49,118.6,0.01
6,22,11,979,16411,187000,10780.12,115.6,0.008
7,23,11,1230,16411,469000,10453.2,155.6,0.005
8,31,11,1239,16411,6219,21191.64,32.4,0.004
9,32,11,2373,16411,102658,14958.44,40.9,0.002
10,33,11,1322,16411,104141,19373.28,8.8,0.001
11,34,11,1037,16411,139427,9916.42,84.2,0.007
12,35,11,1981,16411,120000,12650.19,18.1,0.005
13,36,11,1458,16411,166900,10116.58,98.1,0.002
14,37,11,421,16411,157126,11882.26,60.6,0.032
15,41,11,695,16411,167000,9966.07,141.9,0.012
16,42,11,1171,16411,187400,10849.06,137.2,0.004
17,43,11,1516,16411,211829,10060.17,145.1,0.002
18,44,11,2179,16411,184800,12245.56,40,0.004
19,45,11,1373,16411,236700,7793.08,57.3,0.003
20,46,11,2775,16411,34000,9912.57,17.1,0.002
21,50,11,3026,16411,82400,9489.82,56.9,0.002
22,51,11,1881,16411,488000,9347.74,189.3,0.005
23,52,11,2318,16411,170000,6671.22,54.3,0.001
24,53,11,2907,16411,394000,7456.13,93.1,0.001
25,54,11,3736,16411,1220000,6553.38,4.3,0.001
26,61,11,1092,16411,205800,7932.21,84.6,0.005
27,62,11,1622,16411,454430,6276.59,88.1,0.005
28,63,11,1819,16411,721000,7282.73,23.5,0.002
29,64,11,1192,16411,66400,7598.67,20.8,0.004
30,65,11,3300,16411,1664897,7846.59,96,0.001
31,11,12,125,11920,16411,18867.3,11.7,0.039
32,13,12,308,11920,190000,10186.14,88.1,0.029
33,14,12,523,11920,156000,8809.44,91.7,0.022
34,15,12,604,11920,1183000,8984.92,84.8,0.019
35,21,12,661,11920,148000,11191.49,118.6,0.012
36,22,12,955,11920,187000,10780.12,115.6,0.008
37,23,12,1207,11920,469000,10453.2,155.6,0.007
38,31,12,1150,11920,6219,21191.64,32.4,0.003
39,32,12,975,11920,102658,14958.44,40.9,0.008
40,33,12,1240,11920,104141,19373.28,8.8,0.001
41,34,12,1217,11920,139427,9916.42,84.2,0.008
42,35,12,1891,11920,120000,12650.19,18.1,0.007
43,36,12,1406,11920,166900,10116.58,98.1,0.003
44,37,12,332,11920,157126,11882.26,60.6,0.029
45,41,12,711,11920,167000,9966.07,141.9,0.013
46,42,12,1187,11920,187400,10849.06,137.2,0.004
47,43,12,1576,11920,211829,10060.17,145.1,0.002
48,44,12,2197,11920,184800,12245.56,40,0.003
49,45,12,2389,11920,236700,7793.08,57.3,0.001
50,46,12,2792,11920,34000,9912.57,17.1,0.003
51,50,12,1954,11920,82400,9489.82,56.9,0.004
52,51,12,1897,11920,488000,9347.74,189.3,0.005
53,52,12,2364,11920,170000,6671.22,54.3,0.001
54,53,12,2923,11920,394000,7456.13,93.1,0.001
55,54,12,3740,11920,1220000,6553.38,4.3,0.001
56,61,12,1107,11920,205800,7932.21,84.6,0.005
57,62,12,1626,11920,454430,6276.59,88.1,0.005
58,63,12,1897,11920,721000,7282.73,23.5,0.002
59,64,12,1316,11920,66400,7598.67,20.8,0.003
60,65,12,3330,11920,1664897,7846.59,96,0.001
61,11,13,292,190000,16411,18867.3,11.7,0.106
62,12,13,308,190000,11920,17014.18,18,0.105
63,14,13,218,190000,156000,8809.44,91.7,0.082
64,15,13,736,190000,1183000,8984.92,84.8,0.041
65,21,13,964,190000,148000,11191.49,118.6,0.022
66,22,13,1259,190000,187000,10780.12,115.6,0.012
67,23,13,1510,190000,469000,10453.2,155.6,0.007
68,31,13,1118,190000,6219,21191.64,32.4,0.01
69,32,13,942,190000,102658,14958.44,40.9,0.023
70,33,13,1200,190000,104141,19373.28,8.8,0.011
71,34,13,915,190000,139427,9916.42,84.2,0.019
72,35,13,1859,190000,120000,12650.19,18.1,0.015
73,36,13,1278,190000,166900,10116.58,98.1,0.011
74,37,13,300,190000,157126,11882.26,60.6,0.079
75,41,13,418,190000,167000,9966.07,141.9,0.077
76,42,13,955,190000,187400,10849.06,137.2,0.02
77,43,13,1240,190000,211829,10060.17,145.1,0.014
78,44,13,1902,190000,184800,12245.56,40,0.012
79,45,13,2096,190000,236700,7793.08,57.3,0.006
80,46,13,2496,190000,34000,9912.57,17.1,0.005
81,50,13,1650,190000,82400,9489.82,56.9,0.012
82,51,13,1593,190000,488000,9347.74,189.3,0.007
83,52,13,2030,190000,170000,6671.22,54.3,0.003
84,53,13,26119,190000,394000,7456.13,93.1,0.002
85,54,13,3436,190000,1220000,6553.38,4.3,0.001
86,61,13,802,190000,205800,7932.21,84.6,0.032
87,62,13,1321,190000,454430,6276.59,88.1,0.01
88,63,13,1519,190000,721000,7282.73,23.5,0.008
89,64,13,948,190000,66400,7598.67,20.8,0.021
90,65,13,3206,190000,1664897,7846.59,96,0.002
91,11,14,506,156000,16411,18867.3,11.7,0.09
92,12,14,523,156000,11920,17014.18,18,0.083
93,13,14,218,156000,190000,10186.14,88.1,0.079
94,15,14,527,156000,1183000,8984.92,84.8,0.063
95,21,14,1179,156000,148000,11191.49,118.6,0.017
96,22,14,1473,156000,187000,10780.12,115.6,0.007
97,23,14,1725,156000,469000,10453.2,155.6,0.013
98,31,14,1327,156000,6219,21191.64,32.4,0.006
99,32,14,1095,156000,102658,14958.44,40.9,0.015
100,33,14,1370,156000,104141,19373.28,8.8,0.015
101,34,14,1051,156000,139427,9916.42,84.2,0.015
102,35,14,1882,156000,120000,12650.19,18.1,0.02
103,36,14,1389,156000,166900,10116.58,98.1,0.008
104,37,14,509,156000,157126,11882.26,60.6,0.073
105,41,14,437,156000,167000,9966.07,141.9,0.074
106,42,14,997,156000,187400,10849.06,137.2,0.016
107,43,14,1281,156000,211829,10060.17,145.1,0.009
108,44,14,1944,156000,184800,12245.56,40,0.016
109,45,14,2138,156000,236700,7793.08,57.3,0.009
110,46,14,2538,156000,34000,9912.57,17.1,0.005
111,50,14,1450,156000,82400,9489.82,56.9,0.008
112,51,14,1392,156000,488000,9347.74,189.3,0.007
113,52,14,1862,156000,170000,6671.22,54.3,0.003
114,53,14,2419,156000,394000,7456.13,93.1,0.003
115,54,14,3236,156000,1220000,6553.38,4.3,0.001
116,61,14,602,156000,205800,7932.21,84.6,0.033
117,62,14,1121,156000,454430,6276.59,88.1,0.008
118,63,14,1319,156000,721000,7282.73,23.5,0.007
119,64,14,748,156000,66400,7598.67,20.8,0.029
120,65,14,2825,156000,1664897,7846.59,96,0.003
121,11,15,480,1183000,16411,18867.3,11.7,0.093
122,12,15,604,1183000,11920,17014.18,18,0.061
123,13,15,736,1183000,190000,10186.14,88.1,0.042
124,14,15,527,1183000,156000,8809.44,91.7,0.081
125,21,15,1164,1183000,148000,11191.49,118.6,0.033
126,22,15,1458,1183000,187000,10780.12,115.6,0.01
127,23,15,1710,1183000,469000,10453.2,155.6,0.011
128,31,15,1717,1183000,6219,21191.64,32.4,0.007
129,32,15,1545,1183000,102658,14958.44,40.9,0.009
130,33,15,1802,1183000,104141,19373.28,8.8,0.015
131,34,15,1518,1183000,139427,9916.42,84.2,0.012
132,35,15,2401,1183000,120000,12650.19,18.1,0.004
133,36,15,1906,1183000,166900,10116.58,98.1,0.014
134,37,15,902,1183000,157126,11882.26,60.6,0.023
135,41,15,955,1183000,167000,9966.07,141.9,0.023
136,42,15,1514,1183000,187400,10849.06,137.2,0.008
137,43,15,1798,1183000,211829,10060.17,145.1,0.014
138,44,15,2461,1183000,184800,12245.56,40,0.003
139,45,15,2657,1183000,236700,7793.08,57.3,0.001
140,46,15,3057,1183000,34000,9912.57,17.1,0.003
141,50,15,1847,1183000,82400,9489.82,56.9,0.013
142,51,15,1789,1183000,488000,9347.74,189.3,0.014
143,52,15,2227,1183000,170000,6671.22,54.3,0.002
144,53,15,2816,1183000,394000,7456.13,93.1,0.001
145,54,15,3260,1183000,1220000,6553.38,4.3,0.001
146,61,15,1000,1183000,205800,7932.21,84.6,0.027
147,62,15,1146,1183000,454430,6276.59,88.1,0.022
148,63,15,1344,1183000,721000,7282.73,23.5,0.014
149,64,15,716,1183000,66400,7598.67,20.8,0.061
150,65,15,2825,1183000,1664897,7846.59,96,0.001
151,11,21,684,148000,16411,18867.3,11.7,0.04
152,12,21,661,148000,11920,17014.18,18,0.039
153,13,21,964,148000,190000,10186.14,88.1,0.018
154,14,21,1179,148000,156000,8809.44,91.7,0.014
155,15,21,1164,148000,1183000,8984.92,84.8,0.014
156,22,21,294,148000,187000,10780.12,115.6,0.083
157,23,21,546,148000,469000,10453.2,155.6,0.081
158,31,21,1796,148000,6219,21191.64,32.4,0.007
159,32,21,1610,148000,102658,14958.44,40.9,0.009
160,33,21,1800,148000,104141,19373.28,8.8,0.021
161,34,21,1587,148000,139427,9916.42,84.2,0.011
162,35,21,2533,148000,120000,12650.19,18.1,0.008
