"","toCode","predicted","eng"
"1",12,0.032,"Tianjin"
"2",13,0.029,"Hebei"
"3",14,0.019,"Shanxi"
"4",15,0.026,"Inner Mongolia"
"5",21,0.01,"Liaoning"
"6",22,0.008,"Jilin"
"7",23,0.005,"Heilongjiang"
"8",31,0.004,"Shanghai"
"9",32,0.002,"Jiangsu"
"10",33,0.001,"Zhejiang"
"11",34,0.007,"Anhui"
"12",35,0.005,"Fujian"
"13",36,0.002,"Jiangxi"
"14",37,0.032,"Shandong"
"15",41,0.012,"Henan"
"16",42,0.004,"Hubei"
"17",43,0.002,"Hunan"
"18",44,0.004,"Guangdong"
"19",45,0.003,"Guangxi"
"20",46,0.002,"Hainan"
"21",50,0.002,"Chongqing"
"22",51,0.005,"Sichuan"
"23",52,0.001,"Guizhou"
"24",53,0.001,"Yunnan"
"25",54,0.001,"Xizang"
"26",61,0.005,"Shaanxi"
"27",62,0.005,"Gansu"
"28",63,0.002,"Qinghai"
"29",64,0.004,"Ningxia"
"30",65,0.001,"Xinjiang"
