"","q101d1"
"1",50760
"2",50807
"3",34197
"4",31357
"5",26150
"6",28661
"7",26133
"8",28661
"9",32819
"10",28661
"11",33464
"12",33969
"13",31357
"14",47335
"15",47335
"16",28661
"17",33969
"18",26133
"19",31357
"20",33464
"21",25659
"22",28661
"23",25659
"24",28661
"25",34197
"26",26133
"27",50760
"28",47377
"29",33969
"30",47335
"31",28661
"32",57974
"33",33969
"34",28898
"35",47377
"36",28661
"37",25659
"38",31357
"39",25659
"40",33969
"41",28661
"42",31357
"43",85213
"44",16413
"45",33969
"46",26133
"47",50760
"48",47335
"49",33969
"50",33969
"51",57974
"52",25659
"53",25659
"54",33969
"55",26133
"56",28661
"57",38460
"58",28661
"59",50760
"60",25659
"61",33969
"62",31357
"63",33969
"64",28661
"65",32819
"66",19595
"67",28661
"68",47335
"69",34197
"70",33969
"71",33969
"72",47335
"73",28661
"74",57974
"75",28661
"76",33969
"77",28661
"78",33969
"79",47335
"80",33969
"81",38460
"82",32819
"83",33969
"84",85213
"85",30087
"86",28661
"87",19595
"88",34197
"89",33969
"90",28661
"91",38460
"92",33969
"93",25659
"94",33969
"95",28661
"96",31357
"97",38460
"98",25659
"99",19595
"100",31357
"101",28661
"102",57974
"103",33969
"104",47335
"105",32819
"106",33969
"107",47335
"108",33969
"109",47335
"110",33464
"111",33969
"112",47335
"113",25659
"114",33969
"115",33969
"116",33969
"117",33969
"118",31357
"119",33969
"120",47335
"121",47335
"122",59249
"123",50760
"124",33969
"125",32819
"126",50807
"127",33464
"128",62290
"129",59249
"130",33969
"131",33464
"132",33969
"133",62290
"134",47377
"135",57974
"136",47335
"137",34197
"138",28661
"139",32819
"140",33969
"141",47335
"142",62290
"143",29880
"144",34197
"145",33969
"146",33969
"147",47335
"148",28661
"149",26150
"150",50760
"151",85213
"152",38460
"153",19595
"154",28661
"155",33969
"156",25659
"157",33969
"158",33969
"159",28661
"160",47335
"161",28661
"162",33969
"163",28661
"164",50760
"165",26150
"166",16413
"167",33969
"168",31357
"169",57974
"170",30087
"171",38460
"172",32819
"173",38460
"174",19265
"175",33969
"176",26150
"177",47335
"178",32819
"179",33969
"180",57974
"181",59249
"182",50760
"183",47335
"184",34197
"185",33969
"186",28661
"187",59249
"188",31357
"189",25659
"190",34197
"191",32819
"192",34197
"193",33464
"194",34197
"195",34197
"196",32819
"197",32819
"198",59249
"199",59249
"200",32819
"201",47335
"202",33969
"203",33969
"204",28661
"205",25326
"206",33464
"207",28661
"208",33969
"209",26133
"210",25659
"211",33969
"212",28661
"213",25659
"214",28661
"215",25659
"216",25659
"217",62290
"218",31357
"219",32819
"220",28661
"221",33969
"222",32819
"223",28661
"224",47335
"225",33969
"226",33969
"227",34197
"228",34197
"229",34197
"230",28661
"231",32819
"232",28661
"233",34197
"234",31357
"235",25659
"236",33969
"237",33969
"238",28661
"239",25659
"240",25659
"241",29880
"242",47335
"243",50760
"244",47335
"245",47335
"246",47335
"247",47335
"248",47335
"249",33464
"250",26133
"251",33969
"252",47335
"253",33969
"254",33969
"255",47335
"256",33969
"257",33969
"258",33969
"259",32819
"260",50760
"261",47335
"262",31357
"263",28661
"264",31357
"265",32819
"266",31357
"267",33969
"268",33969
"269",33969
"270",29880
"271",29880
"272",33969
"273",31357
"274",31357
"275",32819
"276",28661
"277",38460
"278",31357
"279",33969
"280",28661
"281",25659
"282",33969
"283",34500
"284",32819
"285",34500
"286",31357
"287",33969
"288",47335
"289",25659
"290",33969
"291",33969
"292",28661
"293",25659
"294",32819
"295",28661
"296",28661
"297",47335
"298",50807
"299",26133
"300",26133
"301",34197
"302",28661
"303",28661
"304",26133
"305",26133
"306",34197
"307",26150
"308",26150
"309",28661
"310",29880
"311",33969
"312",33969
"313",33969
"314",26133
"315",28661
"316",26150
"317",26150
"318",33969
"319",85213
"320",47335
"321",25659
"322",47335
"323",50760
"324",85213
"325",47335
"326",32819
"327",33969
"328",62290
"329",33969
"330",33969
"331",33969
"332",28661
"333",31357
"334",32819
"335",33464
"336",33464
"337",25659
"338",33969
"339",34197
"340",33969
"341",25659
"342",25659
"343",25659
"344",25659
"345",25659
"346",25659
"347",31357
"348",85213
"349",33969
"350",33969
"351",28661
"352",47335
"353",33969
"354",29880
"355",29880
"356",57974
"357",33969
"358",34197
"359",34197
"360",33969
"361",33969
"362",33969
"363",33969
"364",33969
"365",33464
"366",33969
"367",19595
"368",33969
"369",33969
"370",33969
"371",33969
"372",33969
"373",31357
"374",19595
"375",33969
"376",47335
"377",33969
"378",19595
"379",33969
"380",50807
"381",47335
"382",26133
"383",32819
"384",25659
"385",25659
"386",32819
"387",33464
"388",38460
"389",28661
"390",33969
"391",33969
"392",31357
"393",33969
"394",57974
"395",47335
