"","toCode","predicted","eng"
"1",11,0.023,"Beijing"
"2",12,0.02,"Tianjin"
"3",13,0.021,"Hebei"
"4",14,0.021,"Shanxi"
"5",15,0.025,"Inner Mongolia"
"6",21,0.013,"Liaoning"
"7",22,0.01,"Jilin"
"8",23,0.009,"Heilongjiang"
"9",31,0.029,"Shanghai"
"10",32,0.028,"Jiangsu"
"11",33,0.058,"Zhejiang"
"12",34,0.027,"Anhui"
"13",35,0.037,"Fujian"
"14",36,0.024,"Jiangxi"
"15",37,0.03,"Shandong"
"16",41,0.024,"Henan"
"17",42,0.019,"Hubei"
"18",43,0.025,"Hunan"
"19",44,0.027,"Guangdong"
"20",45,0.022,"Guangxi"
"21",46,0.019,"Hainan"
"22",50,0.083,"Chongqing"
"23",52,0.023,"Guizhou"
"24",53,0.031,"Yunnan"
"25",54,0.007,"Xizang"
"26",61,0.045,"Shaanxi"
"27",62,0.019,"Gansu"
"28",63,0.023,"Qinghai"
"29",64,0.021,"Ningxia"
"30",65,0.007,"Xinjiang"
