"","name.eng","x.1.31.","innRate","outRate"
"1","Beijing",11,0,1.98117880138682e-06
"2","Tianjin",12,0,6.27306273062731e-06
"3","Hebei",13,3.05620770611794e-05,3.05206463195691e-05
"4","Shanxi",14,7.09713331477874e-05,1.72001113275814e-05
"5","Inner Mongolia",15,0.000114464141821112,3.43271555197421e-05
"6","Liaoning",21,3.85352498288843e-05,1.07460643394935e-05
"7","Jilin",22,4.60167333575846e-05,3.65223717715533e-05
"8","Heilongjiang",23,8.55503390714658e-05,5.45122587376108e-05
"9","Shanghai",31,0,1.32083510864934e-06
"10","Jiangsu",32,2.18888466894544e-05,1.74452462337005e-05
"11","Zhejiang",33,1.29416071755446e-05,2.19110378912685e-05
"12","Anhui",34,5.61327077747989e-05,9.29121983914209e-05
"13","Fujian",35,4.17741935483871e-05,2.41129032258065e-05
"14","Jiangxi",36,4.06194295900178e-05,4.75044563279857e-05
"15","Shandong",37,3.18563868423783e-06,3.02998858565944e-05
"16","Henan",41,1.48061354921176e-06,4.96058798466127e-05
"17","Hubei",42,8.94407780479333e-06,3.71309482459187e-05
"18","Hunan",43,4.09338993329291e-07,2.51970891449363e-05
"19","Guangdong",44,3.70299857210852e-06,2.65587815326035e-06
"20","Guangxi",45,1.67922497308934e-06,1.23789020452099e-05
"21","Hainan",46,2.85062713797035e-05,3.87685290763968e-06
"22","Chongqing",50,3.42583076396026e-06,4.05960945529291e-05
"23","Sichuan",51,2.40993788819876e-06,4.35155279503106e-05
"24","Guizhou",52,7.29316805995964e-06,3.62928797924474e-05
"25","Yunnan",53,7.14748434463399e-06,1.06456488879292e-05
"26","Xizang",54,0,1.32013201320132e-06
"27","Shaanxi",61,6.1448036334491e-07,2.3510553032327e-05
"28","Gansu",62,6.00624024960998e-06,3.66614664586583e-05
"29","Qinghai",63,1.84859154929577e-05,1.32042253521127e-05
"30","Ningxia",64,0,1.45539906103286e-05
"31","Xinjiang",65,2.12765957446809e-06,1.24038026256225e-05
