"","name.eng","x.1.31.","innRate","outRate"
"1","Beijing",11,0,0.0133729569093611
"2","Tianjin",12,0,0.0649446494464945
"3","Hebei",13,0.181052340836901,0.358375914928877
"4","Shanxi",14,0.858057333704425,0.213748956303924
"5","Inner Mongolia",15,1.50564061240935,0.409347300564061
"6","Liaoning",21,0.396075747205111,0.11544604152407
"7","Jilin",22,1.03928701345944,0.405238268461259
"8","Heilongjiang",23,1.05242566510172,0.565206051121544
"9","Shanghai",31,0,0.0161908819769919
"10","Jiangsu",32,0.277883276364097,0.10520319027725
"11","Zhejiang",33,0.275855756910123,0.159436207212154
"12","Anhui",34,0.720844504021448,0.925435656836461
"13","Fujian",35,0.612096774193548,0.195161290322581
"14","Jiangxi",36,0.235071301247772,0.621434937611408
"15","Shandong",37,0,0.263359966794646
"16","Henan",41,0,0.47028121005539
"17","Hubei",42,0,0.326502257728378
"18","Hunan",43,0,0.209217707701637
"19","Guangdong",44,0,0.0167539267015707
"20","Guangxi",45,0,0.0495156081808396
"21","Hainan",46,0,0.0216647662485747
"22","Chongqing",50,0,0.336416581020898
"23","Sichuan",51,0,0.322857142857143
"24","Guizhou",52,0,0.560392043816662
"25","Yunnan",53,0,0.157849276614122
"26","Xizang",54,0,0.0165016501650165
"27","Shaanxi",61,0,0.213465134918515
"28","Gansu",62,0,0.1801872074883
"29","Qinghai",63,0,0.110915492957746
"30","Ningxia",64,0,0.114241001564945
"31","Xinjiang",65,0,0.022181982797646
