"","x"
"1",0
"2",184.757505773672
"3",607.450653322213
"4",198.656966983772
"5",190.129449838188
"6",132.571428571429
"7",247.542773935202
"8",221.758413775111
"9",21.7108119843682
"10",57.1864277544796
"11",53.2403157701487
"12",236.696323652845
"13",108.313024641213
"14",98.6104885701479
"15",233.625365039633
"16",340.244550770867
"17",158.868715083799
"18",62.4048706240487
"19",13.4086773297577
"20",8.67678958785249
"21",0
"22",69.3240901213172
"23",116.842759477937
"24",17.2463351537798
"25",10.8648413733159
"26",0
"27",104.417670682731
"28",140.625
"29",17.7619893428064
"30",47.39336492891
"31",36.6132723112128
"32",0
"33",0
"34",0
